source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010140_t000338.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010140_t000338.00s.jpg,10140,338.00,30.000,1280,1024,681.20
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010200_t000340.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010200_t000340.00s.jpg,10200,340.00,30.000,1280,1024,681.65
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010440_t000348.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010440_t000348.00s.jpg,10440,348.00,30.000,1280,1024,688.78
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010500_t000350.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010500_t000350.00s.jpg,10500,350.00,30.000,1280,1024,697.80
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010560_t000352.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010560_t000352.00s.jpg,10560,352.00,30.000,1280,1024,739.09
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010620_t000354.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010620_t000354.00s.jpg,10620,354.00,30.000,1280,1024,760.24
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010680_t000356.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010680_t000356.00s.jpg,10680,356.00,30.000,1280,1024,742.82
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010740_t000358.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010740_t000358.00s.jpg,10740,358.00,30.000,1280,1024,801.05
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010800_t000360.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010800_t000360.00s.jpg,10800,360.00,30.000,1280,1024,721.13
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010860_t000362.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010860_t000362.00s.jpg,10860,362.00,30.000,1280,1024,724.95
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010920_t000364.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f010920_t000364.00s.jpg,10920,364.00,30.000,1280,1024,804.61
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f011040_t000368.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f011040_t000368.00s.jpg,11040,368.00,30.000,1280,1024,731.56
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f011100_t000370.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f011100_t000370.00s.jpg,11100,370.00,30.000,1280,1024,5744.36
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f011160_t000372.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f011160_t000372.00s.jpg,11160,372.00,30.000,1280,1024,4088.20
