epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,2269.1,1.7913,2.26163,1.67092,1.12737,0,0.29356,0.36364,0.24986,0.08507,0.23041,0.37273,0.20994,0.0685,1.02031,1.26638,1.23006,0.56259,0,0.000479531,0.000479531,0.000479531
70,2301.76,1.67879,2.23217,1.57234,1.09114,0,0.29565,0.34545,0.24772,0.08613,0.28027,0.44545,0.24841,0.07734,1.05879,1.3083,1.35746,0.5569,0,0.000453537,0.000453537,0.000453537
71,2334.23,1.65556,2.31676,1.59337,1.04204,0,0.29767,0.36818,0.227,0.07279,0.30868,0.38636,0.24349,0.07462,1.08099,1.31879,1.32858,0.56111,0,0.000428093,0.000428093,0.000428093
72,2366.58,1.80358,2.46809,1.57276,1.14863,0,0.28375,0.37273,0.22179,0.0789,0.24275,0.36818,0.20793,0.06646,1.04112,1.28568,1.21997,0.55548,0,0.000403222,0.000403222,0.000403222
73,2398.79,1.71611,2.13751,1.60029,1.08653,0,0.28349,0.36818,0.23614,0.08142,0.2381,0.33636,0.17481,0.05849,1.04303,1.28787,1.27493,0.55492,0,0.00037895,0.00037895,0.00037895
74,2431.51,1.67858,2.04468,1.5571,0.9993,0,0.28219,0.35909,0.22529,0.07917,0.23117,0.36364,0.18141,0.05988,1.08556,1.2906,1.25956,0.56698,0,0.000355301,0.000355301,0.000355301
75,2468.11,1.80445,2.33291,1.61124,1.11557,0,0.2801,0.36818,0.223,0.07989,0.24357,0.37273,0.17997,0.05781,1.09664,1.31681,1.25543,0.56535,0,0.000332298,0.000332298,0.000332298
76,2504.41,1.72991,2.28618,1.61575,1.11534,0,0.27036,0.35,0.22585,0.08412,0.219,0.40909,0.18887,0.06116,1.0722,1.33304,1.21347,0.5595,0,0.000309964,0.000309964,0.000309964
77,2537.38,1.75303,2.19697,1.61372,1.07961,0,0.28995,0.4,0.24527,0.08888,0.24998,0.36818,0.20475,0.06842,1.05323,1.35641,1.2066,0.55531,0,0.000288321,0.000288321,0.000288321
78,2569.93,1.64249,2.16696,1.48916,1.00985,0,0.27306,0.41818,0.23542,0.0876,0.24993,0.43182,0.2149,0.07072,1.05407,1.37482,1.2206,0.55937,0,0.00026739,0.00026739,0.00026739
79,2603.73,1.74474,2.30611,1.55966,1.05184,0,0.2937,0.4,0.25229,0.09129,0.24753,0.38182,0.21896,0.07279,1.03424,1.34239,1.1889,0.55513,0,0.000247192,0.000247192,0.000247192
80,2635.46,1.59521,2.07353,1.42515,0.97305,0,0.28484,0.40909,0.24775,0.09017,0.2514,0.39091,0.21004,0.06899,1.01341,1.30895,1.18055,0.54852,0,0.000227747,0.000227747,0.000227747
81,2668.75,1.70079,2.19331,1.51161,1.02534,0,0.29989,0.37384,0.25313,0.09355,0.26348,0.35455,0.21784,0.07321,1.02371,1.29584,1.17801,0.5463,0,0.000209073,0.000209073,0.000209073
82,2703.03,1.67188,2.3221,1.48214,1.00109,0,0.3033,0.34545,0.25923,0.09503,0.29762,0.33898,0.23208,0.07927,1.02892,1.32411,1.19823,0.54963,0,0.00019119,0.00019119,0.00019119
83,2736.41,1.51732,2.18237,1.47952,0.98445,0,0.26839,0.38636,0.24798,0.08919,0.24705,0.35909,0.21345,0.07028,1.02785,1.34755,1.18825,0.54559,0,0.000174115,0.000174115,0.000174115
84,2770.02,1.64778,2.23167,1.61997,1.03877,0,0.27256,0.37273,0.23815,0.08703,0.25203,0.35,0.21358,0.07288,1.03132,1.35318,1.1609,0.54501,0,0.000157865,0.000157865,0.000157865
85,2803.87,1.76283,2.38498,1.57341,1.12668,0,0.2888,0.36363,0.2418,0.08972,0.2684,0.34545,0.22315,0.07326,1.01774,1.36447,1.18281,0.53751,0,0.000142456,0.000142456,0.000142456
86,2835.4,1.55808,2.09644,1.46904,0.98191,0,0.29839,0.35909,0.24236,0.09031,0.29636,0.33503,0.22339,0.07482,1.0116,1.36803,1.17449,0.53573,0,0.000127904,0.000127904,0.000127904
87,2867.05,1.66863,2.19577,1.35979,1.0082,0,0.30134,0.36364,0.25441,0.097,0.26812,0.36818,0.22462,0.07549,1.01051,1.34938,1.15304,0.53045,0,0.000114221,0.000114221,0.000114221
